epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,5685.44,0.85324,1.05432,1.15005,0.97342,0.96361,0.98255,0.84832,0.10729,0.58512,0.08144,0.00080353,0.00080353,0.00080353
61,5777.66,0.85064,0.97985,1.15961,0.98225,0.97058,0.98346,0.85472,0.08481,0.34155,0.07541,0.0008002,0.0008002,0.0008002
62,5871.69,0.81086,0.99887,1.11947,0.98212,0.96391,0.99087,0.92013,0.08046,0.46547,0.06919,0.00079687,0.00079687,0.00079687
63,5964.91,0.8355,1.07146,1.16229,0.97422,0.98246,0.98444,0.86476,0.09026,1.27172,0.0729,0.00079354,0.00079354,0.00079354
64,6060.14,0.83242,1.07661,1.1339,0.98227,0.97199,0.99196,0.87576,0.08229,0.37081,0.06496,0.00079021,0.00079021,0.00079021
65,6152.19,0.83902,1.0701,1.13679,0.98125,0.97368,0.98662,0.90413,0.05998,0.95981,0.05256,0.00078688,0.00078688,0.00078688
66,6242.98,0.83353,1.03614,1.14347,0.98715,0.94737,0.98227,0.88102,0.06121,0.47719,0.04848,0.00078355,0.00078355,0.00078355
67,6334.89,0.80104,0.99042,1.13765,0.9822,0.96796,0.99162,0.96254,0.05535,0.28605,0.05013,0.00078022,0.00078022,0.00078022
68,6429.83,0.79125,1.0343,1.10273,0.81777,0.89474,0.94884,0.81785,0.07805,0.28619,0.07092,0.00077689,0.00077689,0.00077689
69,6522.28,0.86321,1.01229,1.10748,0.92351,0.95326,0.98932,0.79555,0.11006,0.40943,0.0888,0.00077356,0.00077356,0.00077356
70,6612.72,0.78406,0.99242,1.06317,0.98247,0.98318,0.99483,0.95463,0.06406,0.36189,0.05344,0.00077023,0.00077023,0.00077023
71,6707.18,0.8044,0.93236,1.15592,1,0.96386,0.99094,0.88663,0.0711,0.52487,0.06218,0.0007669,0.0007669,0.0007669
72,6799.68,0.79971,0.97119,1.07244,0.98231,0.97368,0.99414,0.85318,0.09733,0.97821,0.07481,0.00076357,0.00076357,0.00076357
73,6895.18,0.84862,1.05295,1.14092,0.98121,0.96491,0.99225,0.94791,0.06327,0.31617,0.06009,0.00076024,0.00076024,0.00076024
74,6988.14,0.75497,0.93617,1.06277,0.99091,0.95605,0.98767,0.88649,0.06423,0.35108,0.05144,0.00075691,0.00075691,0.00075691
75,7080.36,0.86099,1.04884,1.1201,0.98996,0.97368,0.99399,0.87573,0.07025,0.52472,0.05489,0.00075358,0.00075358,0.00075358
76,7178.52,0.69808,0.92634,1.0476,0.93952,0.95393,0.97995,0.88191,0.06751,0.37583,0.05195,0.00075025,0.00075025,0.00075025
77,7271.02,0.74814,0.88421,1.08974,0.98257,0.98873,0.99456,0.95623,0.05251,0.34517,0.04899,0.00074692,0.00074692,0.00074692
78,7367.07,0.81634,1.06545,1.11076,0.96418,0.94449,0.98486,0.94901,0.05183,0.38991,0.05371,0.00074359,0.00074359,0.00074359
79,7460.92,0.78319,0.97231,1.10145,0.99496,0.97368,0.98842,0.96516,0.05029,0.38684,0.04887,0.00074026,0.00074026,0.00074026
80,7555.24,0.80043,0.97085,1.13344,1,0.9809,0.99274,0.95575,0.05431,0.44878,0.05035,0.00073693,0.00073693,0.00073693
81,7647.74,0.76395,0.94585,1.05797,0.99996,0.97368,0.98795,0.85496,0.09179,0.3605,0.07258,0.0007336,0.0007336,0.0007336
82,7742.72,0.8527,1.07992,1.1273,0.97229,0.95614,0.98469,0.84238,0.07752,0.42602,0.06506,0.00073027,0.00073027,0.00073027
83,7835.98,0.74468,0.84311,1.08433,0.99045,0.98246,0.99129,0.89073,0.0757,0.56746,0.06096,0.00072694,0.00072694,0.00072694
84,7927.83,0.74067,0.91769,1.06073,0.98201,0.9574,0.9915,0.87798,0.07657,0.29125,0.05949,0.00072361,0.00072361,0.00072361
85,8017.86,0.71366,0.86204,1.04712,0.94728,0.94579,0.98683,0.87723,0.06439,0.31485,0.05089,0.00072028,0.00072028,0.00072028
86,8109.39,0.68369,0.84735,1.05068,0.98004,0.98246,0.9936,0.86573,0.06346,0.4404,0.05007,0.00071695,0.00071695,0.00071695
87,8311.6,0.72449,0.89498,1.05634,0.9126,0.97368,0.98257,0.91977,0.05555,0.27401,0.04641,0.00071362,0.00071362,0.00071362
88,8402.02,0.81527,0.97368,1.16224,0.98894,0.98246,0.9937,0.91966,0.06313,0.17821,0.05512,0.00071029,0.00071029,0.00071029
89,8565.76,0.7575,0.85516,1.09564,0.99516,0.98246,0.99458,0.9009,0.06304,0.25962,0.0549,0.00070696,0.00070696,0.00070696
90,8792.31,0.75101,0.94519,1.08857,0.98359,0.96491,0.99389,0.9115,0.06623,0.338,0.05583,0.00070363,0.00070363,0.00070363
91,8882.38,0.73275,0.86216,1.11249,0.9236,0.97368,0.9882,0.88702,0.06774,0.38159,0.05424,0.0007003,0.0007003,0.0007003
92,8992.46,0.72965,0.846,1.1222,0.92275,0.95614,0.98476,0.9112,0.07106,0.49647,0.0587,0.00069697,0.00069697,0.00069697
93,9081.55,0.67184,0.7555,1.05057,0.97133,0.97368,0.99165,0.91035,0.07422,0.3324,0.05979,0.00069364,0.00069364,0.00069364
94,9190.28,0.80454,0.9779,1.13916,0.98233,0.97518,0.99325,0.96334,0.07319,0.3612,0.06049,0.00069031,0.00069031,0.00069031
95,9279.21,0.69931,0.87851,1.06036,0.99103,0.96931,0.9887,0.8776,0.0717,0.25035,0.06793,0.00068698,0.00068698,0.00068698
96,9368.55,0.74487,0.95333,1.06924,0.97624,0.96491,0.99141,0.93433,0.06599,0.26308,0.05166,0.00068365,0.00068365,0.00068365
97,9456.85,0.7751,0.95115,1.09764,0.99103,0.96927,0.99324,0.8683,0.10482,0.35005,0.07532,0.00068032,0.00068032,0.00068032
98,9546.55,0.68514,0.83167,1.05102,0.97363,0.97183,0.99184,0.8706,0.08656,0.46724,0.07003,0.00067699,0.00067699,0.00067699
99,9637.46,0.74797,0.89276,1.09441,0.98667,0.98246,0.99253,0.92554,0.06486,0.29752,0.05167,0.00067366,0.00067366,0.00067366
100,9727.08,0.70262,0.85348,1.05304,0.91108,0.96491,0.98927,0.98463,0.05738,0.34559,0.04978,0.00067033,0.00067033,0.00067033
101,9816.88,0.73582,0.90032,1.06373,0.96475,0.96044,0.98735,0.9158,0.06238,0.26816,0.05239,0.000667,0.000667,0.000667
102,9905.98,0.68913,0.90702,1.05176,0.98302,0.98246,0.99483,0.9015,0.05613,0.35211,0.04783,0.00066367,0.00066367,0.00066367
103,9995.08,0.66287,0.93109,1.01072,0.98953,0.97368,0.99059,0.92864,0.04636,0.19989,0.04177,0.00066034,0.00066034,0.00066034
104,10084.7,0.65675,0.94525,1.00786,0.95331,0.98246,0.99223,0.96793,0.04554,0.23415,0.04214,0.00065701,0.00065701,0.00065701
105,10174.9,0.69314,0.8718,1.01371,0.95642,0.9625,0.98852,0.95188,0.06373,0.30943,0.0481,0.00065368,0.00065368,0.00065368
106,10265.5,0.70844,0.75731,1.10219,0.98429,0.95614,0.99084,0.95827,0.05073,0.38852,0.04112,0.00065035,0.00065035,0.00065035
107,10355.7,0.72636,0.98836,1.08716,0.96666,0.92105,0.98306,0.93138,0.04935,0.37494,0.04742,0.00064702,0.00064702,0.00064702
108,10446.5,0.69225,0.88097,1.04768,0.99109,0.97531,0.99382,0.88215,0.062,0.36102,0.05207,0.00064369,0.00064369,0.00064369
109,10535.5,0.62735,0.84812,1.02486,0.85143,0.90487,0.96432,0.93158,0.05286,0.34774,0.04802,0.00064036,0.00064036,0.00064036
110,10626.8,0.71257,0.92443,1.057,0.96814,0.98246,0.99313,0.98568,0.04473,0.24635,0.04096,0.00063703,0.00063703,0.00063703
111,10719.3,0.66619,0.80481,1.04189,0.99221,0.98246,0.99458,0.9805,0.05125,1.18276,0.04064,0.0006337,0.0006337,0.0006337
112,10809.8,0.63832,0.87868,1.02651,0.98652,0.98246,0.99395,0.98369,0.04669,0.31203,0.03971,0.00063037,0.00063037,0.00063037
113,10902,0.66328,0.77823,1.05154,0.95868,0.97368,0.99137,0.96497,0.05436,0.38698,0.04187,0.00062704,0.00062704,0.00062704
114,10993.9,0.6815,0.75342,1.0773,0.99786,0.98246,0.99483,0.93929,0.057,0.38523,0.04561,0.00062371,0.00062371,0.00062371
115,11085.6,0.7307,0.96121,1.1017,0.99283,0.98246,0.99491,0.98608,0.04657,0.45181,0.0404,0.00062038,0.00062038,0.00062038
